city_code,cluster_code,province_code,volume,lat,long
9600,1371,289,16912.0,34.351749,58.685711
9647,2668,424,13.0,33.080444,50.158733
9681,1239,929,6713.0,35.908985,50.770387
9704,1224,987,3431.0,35.367657,51.242989
9749,6197,424,384.0,32.470348,51.461384
9767,2136,490,2.0,26.59618,54.936573
9770,9770,149,8185024.0,36.653988,51.424469
9806,1054,289,89569.0,36.304298,59.376328
9814,9814,754,10623694.0,37.466705,49.4627
9879,9879,754,802516.0,36.97464,50.554722
9880,9880,424,326099.0,32.771557,50.626858
9899,1120,987,78543.0,35.621708,52.150127
9936,2108,289,2.0,34.795189,60.507618
9951,9951,754,513523.0,36.80666,49.418976
